player,player_id,team,opponent,market,line,book,season_avg,avg_last_7,over_rate_last_7,edge_last_7,predicted_score,confidence_pct,game_time,game_date,ml_prob_over,avg_last_main,over_rate_main,edge_last_main,key,label_over,minutes_last_n,minutes_last_game,is_back_to_back,is_home,days_rest,actual_stat,game_date_dt,minutes_avg_last_n,minutes_avg_last_3,minutes_trend,stat_trend,board_line,is_board_line,delta_from_line,team_pace_season,opp_pace_season,game_pace_season_avg,team_def_rtg_season,opp_def_rtg_season,opp_def_rtg_minus_league_avg,team_pace_last10,opp_pace_last10,team_def_rtg_last10,opp_def_rtg_last10,usage_season,minutes_season,expected_minutes,opp_pos_dvp_delta,env_pace_delta,env_def_softness,game_env_score
Bogdan Bogdanović,203992.0,LAC,CHA,assists,5.5,PrizePicks,3.21,4.14,0.14,-1.36,3.31,6.0,2025-11-22 18:10:00+00:00,2025-11-22,,3.0,0.1,-2.5,Bogdan Bogdanović|LAC|CHA|assists|5.5|2025-11-22,0.0,,,,,,3.0,2025-11-22,,,,,,,-2.19,97.15,100.61,98.88,119.9,119.3,4.560000000000002,97.62,98.28,120.7,121.4,0.18,25.6,25.6,0.249539594843462,-2.2834827686915986,-4.560000000000002,-6.843482768691601
Bogdan Bogdanović,203992.0,LAC,CHA,points,17.5,PrizePicks,14.17,11.57,0.14,-5.93,11.5,6.0,2025-11-22 18:10:00+00:00,2025-11-22,,8.8,0.1,-8.7,Bogdan Bogdanović|LAC|CHA|points|17.5|2025-11-22,0.0,,,,,,6.0,2025-11-22,,,,,,,-6.0,97.15,100.61,98.88,119.9,119.3,4.560000000000002,97.62,98.28,120.7,121.4,0.18,25.6,25.6,3.824558272354096,-2.2834827686915986,-4.560000000000002,-6.843482768691601
Bogdan Bogdanović,203992.0,LAC,CHA,pra,24.5,PrizePicks,20.73,19.29,0.14,-5.21,18.15,6.0,2025-11-22 18:10:00+00:00,2025-11-22,,15.0,0.1,-9.5,Bogdan Bogdanović|LAC|CHA|pra|24.5|2025-11-22,0.0,,,,,,10.0,2025-11-22,,,,,,,-6.350000000000001,97.15,100.61,98.88,119.9,119.3,4.560000000000002,97.62,98.28,120.7,121.4,0.18,25.6,25.6,5.265892324595825,-2.2834827686915986,-4.560000000000002,-6.843482768691601
Bogdan Bogdanović,203992.0,LAC,CHA,rebounds,5.5,PrizePicks,3.34,3.57,0.29,-1.93,3.33,12.0,2025-11-22 18:10:00+00:00,2025-11-22,,3.2,0.2,-2.3,Bogdan Bogdanović|LAC|CHA|rebounds|5.5|2025-11-22,0.0,,,,,,1.0,2025-11-22,,,,,,,-2.17,97.15,100.61,98.88,119.9,119.3,4.560000000000002,97.62,98.28,120.7,121.4,0.18,25.6,25.6,-0.5693512304250561,-2.2834827686915986,-4.560000000000002,-6.843482768691601
Brandon Miller,1641706.0,CHA,LAC,assists,5.5,PrizePicks,2.73,4.29,0.43,-1.21,3.63,18.0,2025-11-22 18:10:00+00:00,2025-11-22,,4.2,0.3,-1.3,Brandon Miller|CHA|LAC|assists|5.5|2025-11-22,0.0,,,,,,3.0,2025-11-22,,,,,,,-1.87,100.61,97.15,98.88,119.3,119.9,5.160000000000011,98.28,97.62,121.4,120.7,0.303,24.9,24.9,0.5828729281767955,-2.2834827686915986,-5.160000000000011,-7.443482768691609
Brandon Miller,1641706.0,CHA,LAC,points,15.5,PrizePicks,18.21,17.57,0.71,2.07,18.08,69.9,2025-11-22 18:10:00+00:00,2025-11-22,,18.2,0.7,2.7,Brandon Miller|CHA|LAC|points|15.5|2025-11-22,1.0,,,,,,21.0,2025-11-22,,,,,,,2.5799999999999983,100.61,97.15,98.88,119.3,119.9,5.160000000000011,98.28,97.62,121.4,120.7,0.303,24.9,24.9,1.2989172467130707,-2.2834827686915986,-5.160000000000011,-7.443482768691609
Brandon Miller,1641706.0,CHA,LAC,pra,22.5,PrizePicks,25.27,24.29,0.71,1.79,25.25,64.8,2025-11-22 18:10:00+00:00,2025-11-22,,25.7,0.7,3.2,Brandon Miller|CHA|LAC|pra|22.5|2025-11-22,1.0,,,,,,25.0,2025-11-22,,,,,,,2.75,100.61,97.15,98.88,119.3,119.9,5.160000000000011,98.28,97.62,121.4,120.7,0.303,24.9,24.9,3.084306646846464,-2.2834827686915986,-5.160000000000011,-7.443482768691609
Brandon Miller,1641706.0,CHA,LAC,rebounds,5.5,PrizePicks,4.33,2.43,0.0,-3.07,3.54,12.0,2025-11-22 18:10:00+00:00,2025-11-22,,3.3,0.2,-2.2,Brandon Miller|CHA|LAC|rebounds|5.5|2025-11-22,0.0,,,,,,1.0,2025-11-22,,,,,,,-1.96,100.61,97.15,98.88,119.3,119.9,5.160000000000011,98.28,97.62,121.4,120.7,0.303,24.9,24.9,-1.2693512304250565,-2.2834827686915986,-5.160000000000011,-7.443482768691609
Brook Lopez,201572.0,LAC,CHA,rebounds,3.5,PrizePicks,6.04,1.0,0.0,-2.5,3.14,0.0,2025-11-22 18:10:00+00:00,2025-11-22,,1.3,0.0,-2.2,Brook Lopez|LAC|CHA|rebounds|3.5|2025-11-22,0.0,,,,,,1.0,2025-11-22,,,,,,,-0.3599999999999999,97.15,100.61,98.88,119.9,119.3,4.560000000000002,97.62,98.28,120.7,121.4,0.201,14.4,14.4,-0.5693512304250561,-2.2834827686915986,-4.560000000000002,-6.843482768691601
Collin Sexton,1629012.0,CHA,LAC,assists,6.5,PrizePicks,3.73,4.29,0.14,-2.21,4.27,12.0,2025-11-22 18:10:00+00:00,2025-11-22,,4.8,0.2,-1.7,Collin Sexton|CHA|LAC|assists|6.5|2025-11-22,0.0,,,,,,4.0,2025-11-22,,,,,,,-2.2300000000000004,100.61,97.15,98.88,119.3,119.9,5.160000000000011,98.28,97.62,121.4,120.7,0.242,26.1,26.1,0.5828729281767955,-2.2834827686915986,-5.160000000000011,-7.443482768691609
Collin Sexton,1629012.0,CHA,LAC,points,19.5,PrizePicks,18.7,14.43,0.0,-5.07,15.92,0.0,2025-11-22 18:10:00+00:00,2025-11-22,,13.9,0.0,-5.6,Collin Sexton|CHA|LAC|points|19.5|2025-11-22,0.0,,,,,,18.0,2025-11-22,,,,,,,-3.58,100.61,97.15,98.88,119.3,119.9,5.160000000000011,98.28,97.62,121.4,120.7,0.242,26.1,26.1,1.2989172467130707,-2.2834827686915986,-5.160000000000011,-7.443482768691609
Collin Sexton,1629012.0,CHA,LAC,pra,29.5,PrizePicks,25.22,20.57,0.0,-8.93,22.52,0.0,2025-11-22 18:10:00+00:00,2025-11-22,,20.8,0.0,-8.7,Collin Sexton|CHA|LAC|pra|29.5|2025-11-22,0.0,,,,,,25.0,2025-11-22,,,,,,,-6.98,100.61,97.15,98.88,119.3,119.9,5.160000000000011,98.28,97.62,121.4,120.7,0.242,26.1,26.1,3.084306646846464,-2.2834827686915986,-5.160000000000011,-7.443482768691609
Collin Sexton,1629012.0,CHA,LAC,ra,6.5,PrizePicks,6.52,6.14,0.29,-0.36,6.6,27.8,2025-11-22 18:10:00+00:00,2025-11-22,,6.9,0.3,0.4,Collin Sexton|CHA|LAC|ra|6.5|2025-11-22,1.0,,,,,,7.0,2025-11-22,,,,,,,0.0999999999999996,100.61,97.15,98.88,119.3,119.9,5.160000000000011,98.28,97.62,121.4,120.7,0.242,26.1,26.1,-1.289312617702448,-2.2834827686915986,-5.160000000000011,-7.443482768691609
Collin Sexton,1629012.0,CHA,LAC,rebounds,4.5,PrizePicks,2.79,1.86,0.14,-2.64,2.33,6.0,2025-11-22 18:10:00+00:00,2025-11-22,,2.1,0.1,-2.4,Collin Sexton|CHA|LAC|rebounds|4.5|2025-11-22,0.0,,,,,,3.0,2025-11-22,,,,,,,-2.17,100.61,97.15,98.88,119.3,119.9,5.160000000000011,98.28,97.62,121.4,120.7,0.242,26.1,26.1,-1.2693512304250565,-2.2834827686915986,-5.160000000000011,-7.443482768691609
Desmond Bane,1630217.0,ORL,NYK,assists,7.5,PrizePicks,3.8,5.29,0.14,-2.21,4.62,6.0,2025-11-22 22:10:00+00:00,2025-11-22,,5.1,0.1,-2.4,Desmond Bane|ORL|NYK|assists|7.5|2025-11-22,0.0,,,,,,5.0,2025-11-22,,,,,,,-2.88,101.02,100.0,100.51,112.4,114.0,-0.7399999999999949,100.31,100.2,110.6,114.2,0.23,32.7,32.7,-0.750460405156538,-0.6534827686915889,0.7399999999999949,0.0865172313084059
Desmond Bane,1630217.0,ORL,NYK,points,24.5,PrizePicks,17.78,19.43,0.14,-5.07,17.88,6.0,2025-11-22 22:10:00+00:00,2025-11-22,,17.2,0.1,-7.3,Desmond Bane|ORL|NYK|points|24.5|2025-11-22,1.0,,,,,,27.0,2025-11-22,,,,,,,-6.620000000000001,101.02,100.0,100.51,112.4,114.0,-0.7399999999999949,100.31,100.2,110.6,114.2,0.23,32.7,32.7,-0.6068798547362064,-0.6534827686915889,0.7399999999999949,0.0865172313084059
Desmond Bane,1630217.0,ORL,NYK,pra,30.5,PrizePicks,26.17,29.86,0.57,-0.64,27.16,30.0,2025-11-22 22:10:00+00:00,2025-11-22,,26.8,0.5,-3.7,Desmond Bane|ORL|NYK|pra|30.5|2025-11-22,1.0,,,,,,35.0,2025-11-22,,,,,,,-3.34,101.02,100.0,100.51,112.4,114.0,-0.7399999999999949,100.31,100.2,110.6,114.2,0.23,32.7,32.7,-1.3862815884476518,-0.6534827686915889,0.7399999999999949,0.0865172313084059
Desmond Bane,1630217.0,ORL,NYK,ra,9.5,PrizePicks,8.4,10.43,0.71,0.93,9.28,37.7,2025-11-22 22:10:00+00:00,2025-11-22,,9.6,0.6,0.1,Desmond Bane|ORL|NYK|ra|9.5|2025-11-22,0.0,,,,,,8.0,2025-11-22,,,,,,,-0.2200000000000006,101.02,100.0,100.51,112.4,114.0,-0.7399999999999949,100.31,100.2,110.6,114.2,0.23,32.7,32.7,-1.5158083441981738,-0.6534827686915889,0.7399999999999949,0.0865172313084059
Desmond Bane,1630217.0,ORL,NYK,rebounds,7.5,PrizePicks,4.59,5.14,0.0,-2.36,4.67,0.0,2025-11-22 22:10:00+00:00,2025-11-22,,4.5,0.0,-3.0,Desmond Bane|ORL|NYK|rebounds|7.5|2025-11-22,0.0,,,,,,3.0,2025-11-22,,,,,,,-2.83,101.02,100.0,100.51,112.4,114.0,-0.7399999999999949,100.31,100.2,110.6,114.2,0.23,32.7,32.7,-0.5693512304250561,-0.6534827686915889,0.7399999999999949,0.0865172313084059
Franz Wagner,1630532.0,ORL,NYK,assists,6.5,PrizePicks,3.67,4.0,0.0,-2.5,3.95,0.0,2025-11-22 22:10:00+00:00,2025-11-22,,4.2,0.0,-2.3,Franz Wagner|ORL|NYK|assists|6.5|2025-11-22,1.0,,,,,,7.0,2025-11-22,,,,,,,-2.55,101.02,100.0,100.51,112.4,114.0,-0.7399999999999949,100.31,100.2,110.6,114.2,0.248,34.6,34.6,-0.750460405156538,-0.6534827686915889,0.7399999999999949,0.0865172313084059
Franz Wagner,1630532.0,ORL,NYK,points,29.5,PrizePicks,19.26,22.71,0.0,-6.79,21.41,0.0,2025-11-22 22:10:00+00:00,2025-11-22,,22.9,0.0,-6.6,Franz Wagner|ORL|NYK|points|29.5|2025-11-22,1.0,,,,,,37.0,2025-11-22,,,,,,,-8.09,101.02,100.0,100.51,112.4,114.0,-0.7399999999999949,100.31,100.2,110.6,114.2,0.248,34.6,34.6,-0.6068798547362064,-0.6534827686915889,0.7399999999999949,0.0865172313084059
Franz Wagner,1630532.0,ORL,NYK,pra,33.5,PrizePicks,27.85,34.14,0.57,0.64,31.57,38.4,2025-11-22 22:10:00+00:00,2025-11-22,,34.0,0.6,0.5,Franz Wagner|ORL|NYK|pra|33.5|2025-11-22,1.0,,,,,,50.0,2025-11-22,,,,,,,-1.93,101.02,100.0,100.51,112.4,114.0,-0.7399999999999949,100.31,100.2,110.6,114.2,0.248,34.6,34.6,-1.3862815884476518,-0.6534827686915889,0.7399999999999949,0.0865172313084059
